타임스탬프,성별,나이대,인지여부,사용경험,테무_1달사용횟수,테무_사용목적,테무_1달월구매횟수,테무_구매카테고리,테무_1달소득,테무_1달소비금액,테무_전체만족도,테무_신뢰도,테무_가격최저가,테무_제품정보표시,테무_후기/리뷰,테무_할인혜택,테무_제품품질,테무_가격대비품질,테무_배송,테무_사용이유,네이버_1달사용횟수,네이버_사용목적,네이버_1달월구매횟수,네이버_구매카테고리,네이버_1달소득,네이버_1달소비금액,네이버_전체만족도,네이버_신뢰도,네이버_가격최저가,네이버_제품정보표시,네이버_후기/리뷰,네이버_할인혜택,네이버_제품품질,네이버_가격대비품질,네이버_배송,네이버_사용이유,둘다_테무_1달사용횟수,둘다_네이버_1달사용횟수,둘다_테무_사용목적,둘다_네이버_사용목적,둘다_테무_최근1달월구매횟수,둘다_네이버_최근1달월구매횟수,둘다_테무_구매카테고리,둘다_네이버_구매카테고리,둘다_1달소득,둘다_테무_1달소비금액,둘다_네이버_1달소비금액,둘다_테무_전체만족도,둘다_테무_신뢰도,둘다_테무_가격최저가,둘다_테무_제품정보표시,둘다_테무_후기/리뷰,둘다_테무_할인혜택,둘다_테무_제품품질,둘다_테무_가격대비품질,둘다_테무_배송,둘다_네이버_전체만족도,둘다_네이버_신뢰도,둘다_네이버_가격최저가,둘다_네이버_제품정보표시,둘다_네이버_후기/리뷰,둘다_네이버_할인혜택,둘다_네이버_제품품질,둘다_네이버_가격대비품질,둘다_네이버_배송,"귀하의 테무, 네이버 쇼핑 이용 경험 공유 여부와 방식을 선택해주세요.(중복 가능)",테무를 추천할 의향이 있으신가요?(사용해 본 적이 없는 경우 선택X),네이버 쇼핑을 추천할 의향이 있으신가요? (사용해 본 적이 없는 경우 선택X),테무를 사용하지 않는 이유는 무엇입니까?(복수 응답 가능),네이버 쇼핑을 사용하지 않는 이유는 무엇입니까?(복수 응답 가능),"다른 쇼핑 사이트를 사용하고 계시다면 어떤 사이트를 사용하고 계십니까?
(타 사이트 사용 이유도 함께 적어주시면 감사하겠습니다.)"
5.12.2024 21:33:11,여,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,6~10회 이용,"가격 비교, 정보 검색",1~3회 구매,기타,90만원 이상,3만원 미만,좋음,좋음,매우 좋음,보통,보통,보통,보통,좋음,좋음,어플리케이션 또는 PC홈페이지 인터페이스의 간결함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/경험 공유는 한 적 없음",,2,,,
5.12.2024 21:34:08,남,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,15회 초과 이용,"정보 검색, 쇼핑",1~3회 구매,"의류, 식료품, 건강관리식품",90만원 이상,10만원 이상,좋음,좋음,보통,보통,좋음,나쁨,좋음,좋음,좋음,"어플리케이션 또는 PC홈페이지 인터페이스의 간결함, 상품의 신뢰도",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/경험 공유는 한 적 없음",,4,,,
5.12.2024 21:52:01,남,20대,둘 다 알고 있음,둘 다 사용해보지 않음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"사용할 필요성을 못느껴서, 인식이 좋지 않아서",사용할 필요성을 못느껴서,
5.12.2024 23:29:13,여,40대,네이버 쇼핑은 알고 테무는 모름,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,15회 초과 이용,"가격 비교, 온라인의 편리성",1~3회 구매,"식료품, 건강관리식품",90만원 이상,5만원 이상 7만원 미만,보통,좋음,보통,보통,좋음,보통,좋음,좋음,좋음,"어플리케이션 또는 PC홈페이지 인터페이스의 간결함, 가격적 측면에서의 장점, 상품의 신뢰도",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/경험 공유는 한 적 없음",,,,,
5.13.2024 12:23:28,남,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,6~10회 이용,정보 검색,1~3회 구매,기타,70만원 이상~90만원 미만,3만원 이상 5만원 미만,보통,좋음,보통,좋음,좋음,나쁨,보통,보통,보통,어플리케이션 또는 PC홈페이지 인터페이스의 간결함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,테무 경험 X,2,3,,,
5.14.2024 12:16:32,남,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,1회~5회 이용,"가격 비교, 정보 검색",0회 구매,"전자기기, 가전제품",50만원 이상~70만원 미만,3만원 미만,보통,좋음,좋음,보통,매우 좋음,좋음,보통,보통,좋음,네이버페이라든지 접근하기 편함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,네이버 쇼핑/경험O/경험 공유는 한 적 없음,2,3,,,
5.14.2024 12:25:44,여,20대,둘 다 알고 있음,둘 다 사용해봄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1회~5회 이용,6~10회 이용,"가격 비교, 좋은 혜택(할인/ 적립 등)","정보 검색, 쇼핑",1~3회 구매,0회 구매,"의류, 악세서리(주얼리)","전자기기, 가전제품, 악세서리(주얼리)",30만원 이상~50만원 미만,3만원 이상 5만원 미만,3만원 미만,보통,나쁨,좋음,매우 나쁨,보통,좋음,좋음,매우 좋음,매우 좋음,좋음,매우 좋음,보통,매우 좋음,좋음,보통,매우 좋음,좋음,매우 좋음,네이버 쇼핑/경험O/네이버 쇼핑 사이트에 사용 후기,4,5,,,
5.14.2024 12:28:46,남,20대,네이버 쇼핑은 알고 테무는 모름,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,15회 초과 이용,가격 비교,10회 초과,"전자기기, 가전제품",30만원 미만,3만원 이상 5만원 미만,매우 좋음,매우 좋음,매우 좋음,좋음,좋음,매우 좋음,매우 좋음,매우 좋음,매우 좋음,어플리케이션 또는 PC홈페이지 인터페이스의 간결함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,테무 경험 X,,5,,,
5.14.2024 12:29:10,여,20대,둘 다 알고 있음,둘 다 사용해봄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1회~5회 이용,1회~5회 이용,"가격 비교, 쇼핑","가격 비교, 정보 검색",1~3회 구매,1~3회 구매,"의류, 악세서리(주얼리)","식료품, 건강관리식품, 서적",50만원 이상~70만원 미만,3만원 미만,3만원 미만,보통,나쁨,매우 좋음,보통,나쁨,매우 좋음,나쁨,보통,좋음,좋음,좋음,보통,좋음,보통,보통,좋음,좋음,좋음,"테무/경험O/온라인으로(친구한테 얘기 등), 네이버 쇼핑/경험O/온라인으로(친구한테 얘기 등)",3,3,,,
5.14.2024 12:31:56,남,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,15회 초과 이용,"가격 비교, 정보 검색",1~3회 구매,"의류, 식료품, 건강관리식품",70만원 이상~90만원 미만,3만원 미만,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,"어플리케이션 또는 PC홈페이지 인터페이스의 간결함, 가격적 측면에서의 장점, 상품의 신뢰도, 기업의 혁신성, 각종 혜택 및 적립",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/온라인 통해(카톡, 유튜브 채널 등), 네이버 쇼핑/경험O/온라인으로(친구한테 얘기 등), 네이버 쇼핑/경험O/네이버 쇼핑 사이트에 사용 후기",,5,,,
5.14.2024 12:36:40,남,20대,네이버 쇼핑은 알고 테무는 모름,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,15회 초과 이용,"정보 검색, 좋은 혜택(할인/ 적립 등)",7~10회 구매,"식료품, 건강관리식품, 전자기기, 가전제품, 서적",90만원 이상,10만원 이상,좋음,보통,보통,좋음,매우 좋음,나쁨,보통,보통,보통,편의성,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"네이버 쇼핑/경험O/경험 공유는 한 적 없음, 네이버 쇼핑/경험O/온라인 통해(카톡, 유튜브 채널 등)",,4,,,
5.14.2024 12:38:01,남,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,1회~5회 이용,"정보 검색, 좋은 혜택(할인/ 적립 등)",0회 구매,"전자기기, 가전제품",30만원 이상~50만원 미만,3만원 이상 5만원 미만,좋음,보통,보통,보통,좋음,나쁨,보통,보통,보통,"상품의 신뢰도, 테무는 품질이 안좋다는 인식이 강함",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/경험 공유는 한 적 없음",2,4,,,
5.14.2024 12:39:22,여,20대,"테무, 네이버 쇼핑 둘 다 모름",네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,1회~5회 이용,온라인의 편리성,1~3회 구매,기타,50만원 이상~70만원 미만,3만원 이상 5만원 미만,좋음,매우 좋음,보통,좋음,나쁨,보통,좋음,좋음,좋음,상품의 신뢰도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/경험 공유는 한 적 없음",3,4,,,
5.14.2024 12:39:33,남,20대,네이버 쇼핑은 알고 테무는 모름,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,1회~5회 이용,정보 검색,1~3회 구매,의류,30만원 이상~50만원 미만,3만원 미만,보통,보통,보통,보통,보통,보통,보통,보통,보통,어플리케이션 또는 PC홈페이지 인터페이스의 간결함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,테무 경험 X,,3,,,
5.14.2024 12:44:33,남,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,1회~5회 이용,"가격 비교, 정보 검색",1~3회 구매,의류,30만원 미만,3만원 미만,좋음,보통,좋음,나쁨,매우 나쁨,좋음,보통,좋음,보통,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,테무 경험 X,,3,,,
5.14.2024 12:47:11,여,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,15회 초과 이용,"정보 검색, 좋은 혜택(할인/ 적립 등)",1~3회 구매,기타,50만원 이상~70만원 미만,5만원 이상 7만원 미만,좋음,좋음,좋음,보통,좋음,좋음,보통,좋음,매우 좋음,"어플리케이션 또는 PC홈페이지 인터페이스의 간결함, 각종 혜택 및 적립",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/온라인 통해(카톡, 유튜브 채널 등), 네이버 쇼핑/경험O/온라인으로(친구한테 얘기 등)",,4,,,
5.14.2024 12:50:17,남,20대,네이버 쇼핑은 알고 테무는 모름,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,11~15회 이용,온라인의 편리성,1~3회 구매,"의류, 식료품, 건강관리식품",30만원 이상~50만원 미만,3만원 이상 5만원 미만,좋음,좋음,좋음,좋음,좋음,좋음,보통,좋음,좋음,각종 혜택 및 적립,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/온라인 통해(카톡, 유튜브 채널 등)",3,5,,,
5.14.2024 12:51:09,여,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,6~10회 이용,좋은 혜택(할인/ 적립 등),1~3회 구매,"식료품, 건강관리식품",50만원 이상~70만원 미만,5만원 이상 7만원 미만,보통,보통,보통,좋음,좋음,보통,좋음,보통,좋음,"어플리케이션 또는 PC홈페이지 인터페이스의 간결함, 각종 혜택 및 적립",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/네이버 쇼핑 사이트에 사용 후기",,,,,
5.14.2024 12:56:18,여,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,1회~5회 이용,"가격 비교, 정보 검색",1~3회 구매,"식료품, 건강관리식품, 서적, 기타",30만원 이상~50만원 미만,3만원 미만,좋음,좋음,좋음,좋음,좋음,보통,좋음,좋음,좋음,어플리케이션 또는 PC홈페이지 인터페이스의 간결함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/경험 공유는 한 적 없음",,3,,,
5.14.2024 12:57:29,남,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,11~15회 이용,온라인의 편리성,1~3회 구매,의류,50만원 이상~70만원 미만,3만원 이상 5만원 미만,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,어플리케이션 또는 PC홈페이지 인터페이스의 간결함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/온라인으로(친구한테 얘기 등)",,3,,,
5.14.2024 12:58:23,여,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,1회~5회 이용,"정보 검색, 기타",1~3회 구매,의류,50만원 이상~70만원 미만,3만원 이상 5만원 미만,좋음,좋음,보통,매우 좋음,매우 좋음,좋음,매우 좋음,좋음,매우 좋음,네이버 쇼핑에서만 판매하는 제품이 있어서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/온라인 통해(카톡, 유튜브 채널 등), 네이버 쇼핑/경험O/온라인으로(친구한테 얘기 등), 네이버 쇼핑/경험O/네이버 쇼핑 사이트에 사용 후기",,5,,,
5.14.2024 13:01:18,여,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,6~10회 이용,"가격 비교, 좋은 혜택(할인/ 적립 등)",1~3회 구매,"전자기기, 가전제품, 악세서리(주얼리)",90만원 이상,5만원 이상 7만원 미만,좋음,매우 좋음,보통,좋음,좋음,보통,좋음,좋음,좋음,"어플리케이션 또는 PC홈페이지 인터페이스의 간결함, 상품의 신뢰도, 각종 혜택 및 적립",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/경험 공유는 한 적 없음",,4,,,
5.14.2024 13:01:36,남,20대,네이버 쇼핑은 알고 테무는 모름,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,1회~5회 이용,"가격 비교, 온라인의 편리성",1~3회 구매,의류,50만원 이상~70만원 미만,3만원 미만,보통,보통,좋음,보통,좋음,보통,보통,나쁨,보통,어플리케이션 또는 PC홈페이지 인터페이스의 간결함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/경험 공유는 한 적 없음",,3,,,
5.14.2024 13:03:33,남,20대,네이버 쇼핑은 알고 테무는 모름,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,6~10회 이용,온라인의 편리성,0회 구매,서적,50만원 이상~70만원 미만,3만원 미만,좋음,보통,보통,좋음,좋음,보통,좋음,좋음,매우 좋음,어플리케이션 또는 PC홈페이지 인터페이스의 간결함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/경험 공유는 한 적 없음",,5,,,
5.14.2024 13:07:12,남,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,1회~5회 이용,"가격 비교, 온라인의 편리성",4~6회 구매,"의류, 기타",30만원 미만,3만원 미만,보통,보통,보통,나쁨,나쁨,매우 나쁨,보통,보통,보통,어플리케이션 또는 PC홈페이지 인터페이스의 간결함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/경험 공유는 한 적 없음",3,3,,,
5.14.2024 13:12:12,여,20대,둘 다 알고 있음,둘 다 사용해보지 않음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,인식이 좋지 않아서,사용할 필요성을 못느껴서,"무신사, 의류 및 잡화 구매"
5.14.2024 13:21:16,남,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,6~10회 이용,"좋은 혜택(할인/ 적립 등), 쇼핑",4~6회 구매,"식료품, 건강관리식품",50만원 이상~70만원 미만,3만원 미만,좋음,좋음,좋음,좋음,좋음,매우 좋음,좋음,좋음,좋음,각종 혜택 및 적립,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/경험 공유는 한 적 없음",,5,,,
5.14.2024 13:22:14,남,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,11~15회 이용,"정보 검색, 온라인의 편리성, 좋은 혜택(할인/ 적립 등)",1~3회 구매,"식료품, 건강관리식품, 전자기기, 가전제품",90만원 이상,7만원 이상 10만원 미만,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,"어플리케이션 또는 PC홈페이지 인터페이스의 간결함, 상품의 신뢰도, 각종 혜택 및 적립",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,테무 경험 X,1,4,,,
5.14.2024 13:22:27,여,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,15회 초과 이용,"가격 비교, 온라인의 편리성",1~3회 구매,"의류, 식료품, 건강관리식품",70만원 이상~90만원 미만,7만원 이상 10만원 미만,좋음,좋음,보통,좋음,좋음,좋음,좋음,좋음,좋음,"어플리케이션 또는 PC홈페이지 인터페이스의 간결함, 가격적 측면에서의 장점",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/오프라인으로(친구한테 얘기 등)",,4,,,
5.14.2024 13:23:42,여,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,11~15회 이용,"가격 비교, 좋은 혜택(할인/ 적립 등)",4~6회 구매,"의류, 식료품, 건강관리식품, 악세서리(주얼리), 반려동물 용품, 서적",90만원 이상,7만원 이상 10만원 미만,좋음,좋음,보통,보통,좋음,좋음,좋음,좋음,좋음,"어플리케이션 또는 PC홈페이지 인터페이스의 간결함, 기업의 혁신성, 각종 혜택 및 적립",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/오프라인으로(친구한테 얘기 등)",,4,,,
5.14.2024 13:27:26,남,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,15회 초과 이용,"가격 비교, 좋은 혜택(할인/ 적립 등)",7~10회 구매,"전자기기, 가전제품, 기타",50만원 이상~70만원 미만,3만원 미만,매우 좋음,매우 좋음,보통,좋음,매우 좋음,매우 좋음,매우 좋음,매우 좋음,좋음,"상품의 신뢰도, 각종 혜택 및 적립",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/경험 공유는 한 적 없음",,4,,,
5.14.2024 13:32:39,여,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,15회 초과 이용,"가격 비교, 좋은 혜택(할인/ 적립 등)",1~3회 구매,"식료품, 건강관리식품, 전자기기, 가전제품",90만원 이상,10만원 이상,좋음,보통,좋음,좋음,좋음,좋음,좋음,좋음,좋음,아직 테무를 안써봐서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,네이버 쇼핑/경험O/오프라인으로(친구한테 얘기 등),,5,,,
5.14.2024 13:39:20,여,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,6~10회 이용,"가격 비교, 온라인의 편리성, 좋은 혜택(할인/ 적립 등)",1~3회 구매,"의류, 기타",50만원 이상~70만원 미만,3만원 이상 5만원 미만,좋음,좋음,보통,보통,매우 나쁨,보통,보통,보통,보통,"상품의 신뢰도, 사이트에 대한 신뢰도",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/경험 공유는 한 적 없음",3,3,,,
5.14.2024 13:42:36,남,20대,"테무, 네이버 쇼핑 둘 다 모름",네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,6~10회 이용,"온라인의 편리성, 좋은 혜택(할인/ 적립 등)",1~3회 구매,"서적, 기타",50만원 이상~70만원 미만,3만원 이상 5만원 미만,좋음,보통,좋음,매우 좋음,좋음,매우 좋음,좋음,좋음,매우 좋음,"어플리케이션 또는 PC홈페이지 인터페이스의 간결함, 상품의 신뢰도, 각종 혜택 및 적립",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/온라인 통해(카톡, 유튜브 채널 등)",,4,,,
5.14.2024 14:10:37,여,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,6~10회 이용,온라인의 편리성,4~6회 구매,"의류, 식료품, 건강관리식품, 전자기기, 가전제품, 악세서리(주얼리)",70만원 이상~90만원 미만,3만원 미만,좋음,좋음,좋음,좋음,매우 좋음,매우 좋음,매우 좋음,매우 좋음,매우 좋음,"어플리케이션 또는 PC홈페이지 인터페이스의 간결함, 상품의 신뢰도, 각종 혜택 및 적립",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/경험 공유는 한 적 없음",,4,,,
5.14.2024 14:13:26,남,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,6~10회 이용,좋은 혜택(할인/ 적립 등),0회 구매,"식료품, 건강관리식품, 전자기기, 가전제품",50만원 이상~70만원 미만,3만원 미만,보통,보통,보통,보통,나쁨,좋음,보통,보통,좋음,어플리케이션 또는 PC홈페이지 인터페이스의 간결함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,테무 경험 X,1,3,,,
5.14.2024 14:22:16,여,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,6~10회 이용,좋은 혜택(할인/ 적립 등),1~3회 구매,"의류, 악세서리(주얼리)",70만원 이상~90만원 미만,5만원 이상 7만원 미만,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,좋음,어플리케이션 또는 PC홈페이지 인터페이스의 간결함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/경험 공유는 한 적 없음",,4,,,
5.14.2024 14:43:36,남,20대,둘 다 알고 있음,둘 다 사용해봄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1회~5회 이용,1회~5회 이용,정보 검색,"가격 비교, 정보 검색, 온라인의 편리성, 좋은 혜택(할인/ 적립 등)",0회 구매,1~3회 구매,구매 경험 없음,"전자기기, 가전제품",90만원 이상,3만원 미만,10만원 이상,매우 나쁨,매우 나쁨,매우 좋음,매우 나쁨,매우 나쁨,매우 좋음,매우 나쁨,보통,매우 나쁨,매우 좋음,매우 좋음,좋음,매우 좋음,나쁨,매우 좋음,매우 좋음,좋음,매우 좋음,"테무 경험 X, 네이버 쇼핑/경험O/온라인 통해(카톡, 유튜브 채널 등), 네이버 쇼핑/경험O/오프라인으로(친구한테 얘기 등)",1,,,,
5.14.2024 14:48:42,여,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,1회~5회 이용,"가격 비교, 온라인의 편리성, 쇼핑",1~3회 구매,"식료품, 건강관리식품",50만원 이상~70만원 미만,5만원 이상 7만원 미만,좋음,매우 좋음,보통,좋음,매우 좋음,좋음,좋음,좋음,좋음,어플리케이션 또는 PC홈페이지 인터페이스의 간결함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/네이버 쇼핑 사이트에 사용 후기",,4,,,
5.14.2024 15:21:41,여,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,15회 초과 이용,"가격 비교, 좋은 혜택(할인/ 적립 등)",1~3회 구매,"식료품, 건강관리식품, 기타",90만원 이상,5만원 이상 7만원 미만,좋음,매우 좋음,매우 좋음,매우 좋음,매우 좋음,좋음,좋음,좋음,좋음,"상품의 신뢰도, 각종 혜택 및 적립, 테무의 장점을 알고 있으나 단점을 상쇄할 만큼이 아니라고 생각하여 이용하지 않음",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/온라인 통해(카톡, 유튜브 채널 등), 네이버 쇼핑/경험O/오프라인으로(친구한테 얘기 등), 네이버 쇼핑/경험O/네이버 쇼핑 사이트에 사용 후기",,4,,,
5.14.2024 15:38:21,남,20대,둘 다 알고 있음,둘 다 사용해봄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1회~5회 이용,1회~5회 이용,가격 비교,가격 비교,0회 구매,0회 구매,"식료품, 건강관리식품","의류, 식료품, 건강관리식품",50만원 이상~70만원 미만,3만원 미만,3만원 미만,보통,보통,보통,보통,보통,보통,보통,보통,매우 좋음,보통,보통,보통,보통,보통,보통,보통,보통,보통,"테무/경험O/테무 사이트에 사용 후기, 네이버 쇼핑/경험O/네이버 쇼핑 사이트에 사용 후기",4,4,,,
5.14.2024 15:55:33,여,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,6~10회 이용,"가격 비교, 정보 검색, 온라인의 편리성, 좋은 혜택(할인/ 적립 등)",1~3회 구매,"의류, 전자기기, 가전제품",30만원 이상~50만원 미만,7만원 이상 10만원 미만,보통,보통,보통,보통,보통,좋음,좋음,보통,보통,"어플리케이션 또는 PC홈페이지 인터페이스의 간결함, 가격적 측면에서의 장점",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/온라인 통해(카톡, 유튜브 채널 등), 네이버 쇼핑/경험O/네이버 쇼핑 사이트에 사용 후기",,4,,,
5.14.2024 16:19:02,남,20대,둘 다 알고 있음,둘 다 사용해봄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1회~5회 이용,1회~5회 이용,"가격 비교, 온라인의 편리성, 좋은 혜택(할인/ 적립 등)","가격 비교, 정보 검색, 온라인의 편리성",1~3회 구매,0회 구매,"의류, 전자기기, 가전제품","의류, 식료품, 건강관리식품",90만원 이상,3만원 이상 5만원 미만,3만원 이상 5만원 미만,보통,나쁨,보통,보통,보통,좋음,보통,좋음,보통,보통,좋음,나쁨,좋음,좋음,나쁨,좋음,보통,좋음,"테무/경험O/온라인 통해(카톡, 유튜브 채널 등), 테무/경험O/오프라인으로(친구한테 얘기 등), 네이버 쇼핑/경험O/경험 공유는 한 적 없음, 네이버 쇼핑/경험O/온라인 통해(카톡, 유튜브 채널 등), 네이버 쇼핑/경험O/오프라인으로(친구한테 얘기 등)",4,4,,,
5.14.2024 16:35:24,여,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,15회 초과 이용,"온라인의 편리성, 좋은 혜택(할인/ 적립 등)",1~3회 구매,기타,90만원 이상,10만원 이상,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,각종 혜택 및 적립,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,테무 경험 X,2,3,,,
5.14.2024 16:35:57,남,20대,네이버 쇼핑은 알고 테무는 모름,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,6~10회 이용,"가격 비교, 정보 검색",1~3회 구매,"의류, 악세서리(주얼리)",90만원 이상,5만원 이상 7만원 미만,좋음,좋음,좋음,좋음,좋음,보통,좋음,좋음,보통,"어플리케이션 또는 PC홈페이지 인터페이스의 간결함, 가격적 측면에서의 장점, 상품의 신뢰도",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,테무 경험 X,4,4,,,
